review_order,priority_group,triage_rank,triage_score,listing_id,address,source_label,recommended_source,recommended_label,coordinate_confidence,best_photo_indices,arcgis_real_tiles,arcgis_placeholder_tiles,best_overhead_candidate,aerial_contact_sheet,mls_contact_sheet,google_best_image,google_contact_sheet,bing_contact_sheet,mapbox_contact_sheet,app_path,review_reason,rights_note
49,A - strong candidate,49,122,20050440,959 COPPER POINT Way,Columbia Valley,mls_drone_or_aerial_candidate,Strong MLS aerial/elevated,listing,"7,6,3,5",0,9,data\aerial\columbia_valley\959-copper-point-way-20050440\esri_world_imagery_z19\z19_x93223_y176674.jpg,data\contact_sheets\columbia_valley\959-copper-point-way-20050440\aerial_contact_sheet.jpg,data\mls_contact_sheets\columbia_valley\959-copper-point-way-20050440\mls_contact_sheet.jpg,data\alternate_aerial\google\columbia-valley\959-copper-point-way-20050440\google_satellite_z19.jpg,data\alternate_contact_sheets\google\columbia-valley\959-copper-point-way-20050440\google_satellite_contact_sheet.jpg,,,/columbia-valley#listing-20050440,Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.; Goal review: photos 6-7 provide top-down backyard/lot details but only partial house context; photo 3 is elevated front/setting v…,MLS/listing photos are research-only until rights are verified.
50,A - strong candidate,50,99,10658951,9444 MOYIE SHORES ESTATES W Road,Cranbrook/Kimberley,google_overhead_house_backyard_candidate,Strong Google overhead,listing,"2,3,6,1,5",9,0,data\aerial\cranbrook_kimberley\9444-moyie-shores-estates-w-road-10658951\esri_world_imagery_z19\z19_x93433_y179429.jpg,data\contact_sheets\cranbrook_kimberley\9444-moyie-shores-estates-w-road-10658951\aerial_contact_sheet.jpg,data\mls_contact_sheets\cranbrook_kimberley\9444-moyie-shores-estates-w-road-10658951\mls_contact_sheet.jpg,data\alternate_aerial\google\cranbrook-kimberley\9444-moyie-shores-estates-w-road-10658951\google_satellite_z19.jpg,data\alternate_contact_sheets\google\cranbrook-kimberley\9444-moyie-shores-estates-w-road-10658951\google_satellite_contact_sheet.jpg,data\alternate_contact_sheets\bing\cranbrook-kimberley\9444-moyie-shores-estates-w-road-10658951\bing_aerial_contact_sheet.jpg,data\alternate_contact_sheets\mapbox\cranbrook-kimberley\9444-moyie-shores-estates-w-road-10658951\mapbox_satellite_contact_sheet.jpg,/cranbrook-kimberley#listing-10658951,Vision batch 002: print_mockup_potential=low; best_candidate_tile=none; Wooded rural setting with property mostly hidden by trees; no visible backyard focal point.; Goal review: no true aerial/top-down house+lot view. Strong ground-level yard/lot coverage wit…,MLS/listing photos are research-only until rights are verified.
51,A - strong candidate,55,79,20078478,75 103RD Avenue,Cranbrook/Kimberley,google_overhead_house_backyard_candidate,Strong Google overhead,listing,"2,1,29",0,9,data\aerial\cranbrook_kimberley\75-103rd-avenue-20078478\esri_world_imagery_z19\z19_x93256_y178567.jpg,data\contact_sheets\cranbrook_kimberley\75-103rd-avenue-20078478\aerial_contact_sheet.jpg,data\mls_contact_sheets\cranbrook_kimberley\75-103rd-avenue-20078478\mls_contact_sheet.jpg,data\alternate_aerial\google\cranbrook-kimberley\75-103rd-avenue-20078478\google_satellite_z19.jpg,data\alternate_contact_sheets\google\cranbrook-kimberley\75-103rd-avenue-20078478\google_satellite_contact_sheet.jpg,data\alternate_contact_sheets\bing\cranbrook-kimberley\75-103rd-avenue-20078478\bing_aerial_contact_sheet.jpg,data\alternate_contact_sheets\mapbox\cranbrook-kimberley\75-103rd-avenue-20078478\mapbox_satellite_contact_sheet.jpg,/cranbrook-kimberley#listing-20078478,Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.; Strong backyard/lawn and deck images; photo 29 appears to show a covered hot tub on deck. Needs human verification before relying…,MLS/listing photos are research-only until rights are verified.
52,A - strong candidate,60,71,20080409,1668 Tranquility Road,Fernie/Sparwood,google_overhead_house_backyard_candidate,Strong Google overhead,listing,,9,0,data\aerial\fernie_sparwood\1668-tranquility-road-20080409\esri_world_imagery_z19\z19_x94349_y179655.jpg,data\contact_sheets\fernie_sparwood\1668-tranquility-road-20080409\aerial_contact_sheet.jpg,data\mls_contact_sheets\fernie_sparwood\1668-tranquility-road-20080409\mls_contact_sheet.jpg,data\alternate_aerial\google\fernie-sparwood\1668-tranquility-road-20080409\google_satellite_z19.jpg,data\alternate_contact_sheets\google\fernie-sparwood\1668-tranquility-road-20080409\google_satellite_contact_sheet.jpg,data\alternate_contact_sheets\bing\fernie-sparwood\1668-tranquility-road-20080409\bing_aerial_contact_sheet.jpg,data\alternate_contact_sheets\mapbox\fernie-sparwood\1668-tranquility-road-20080409\mapbox_satellite_contact_sheet.jpg,/fernie-sparwood#listing-20080409,Vision batch 002: print_mockup_potential=low; best_candidate_tile=none; Dense tree canopy dominates center tile; property/backyard is obscured.; Dense tree cover; possible driveway/clearing visible but no clear house + backyard/lot view together.; House and l…,MLS/listing photos are research-only until rights are verified.
53,A - strong candidate,72,61,10682918,79 RIDGEMONT Drive,Fernie/Sparwood,google_overhead_house_backyard_candidate,Strong Google overhead,listing,"1,2,3,7,9,10",0,9,data\aerial\fernie_sparwood\79-ridgemont-drive-10682918\esri_world_imagery_z19\z19_x94591_y178921.jpg,data\contact_sheets\fernie_sparwood\79-ridgemont-drive-10682918\aerial_contact_sheet.jpg,data\mls_contact_sheets\fernie_sparwood\79-ridgemont-drive-10682918\mls_contact_sheet.jpg,data\alternate_aerial\google\fernie-sparwood\79-ridgemont-drive-10682918\google_satellite_z19.jpg,data\alternate_contact_sheets\google\fernie-sparwood\79-ridgemont-drive-10682918\google_satellite_contact_sheet.jpg,,data\alternate_contact_sheets\mapbox\fernie-sparwood\79-ridgemont-drive-10682918\mapbox_satellite_contact_sheet.jpg,/fernie-sparwood#listing-10682918,"Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.; Strong exterior/yard and mountain-view seating shots; no aerial or hot tub/pool visible.; z19 provides the best balance of house,…",MLS/listing photos are research-only until rights are verified.
54,A - strong candidate,73,61,20020840,814 307TH Avenue,Cranbrook/Kimberley,google_overhead_house_backyard_candidate,Strong Google overhead,listing,"1,23,25,26,27,28,30",0,9,data\aerial\cranbrook_kimberley\814-307th-avenue-20020840\esri_world_imagery_z19\z19_x93273_y178638.jpg,data\contact_sheets\cranbrook_kimberley\814-307th-avenue-20020840\aerial_contact_sheet.jpg,data\mls_contact_sheets\cranbrook_kimberley\814-307th-avenue-20020840\mls_contact_sheet.jpg,data\alternate_aerial\google\cranbrook-kimberley\814-307th-avenue-20020840\google_satellite_z19.jpg,data\alternate_contact_sheets\google\cranbrook-kimberley\814-307th-avenue-20020840\google_satellite_contact_sheet.jpg,,data\alternate_contact_sheets\mapbox\cranbrook-kimberley\814-307th-avenue-20020840\mapbox_satellite_contact_sheet.jpg,/cranbrook-kimberley#listing-20020840,Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.; Good lawn/backyard/deck inventory; hot tub clearly visible in photo 28. Needs human verification before relying on it.; Clear top…,MLS/listing photos are research-only until rights are verified.
55,A - strong candidate,74,61,10683812,958 COPPER POINT Way,Columbia Valley,google_overhead_house_backyard_candidate,Strong Google overhead,listing,"4,5,6,7,14,15,16,23,24",0,9,data\aerial\columbia_valley\958-copper-point-way-10683812\esri_world_imagery_z19\z19_x93223_y176675.jpg,data\contact_sheets\columbia_valley\958-copper-point-way-10683812\aerial_contact_sheet.jpg,data\mls_contact_sheets\columbia_valley\958-copper-point-way-10683812\mls_contact_sheet.jpg,data\alternate_aerial\google\columbia-valley\958-copper-point-way-10683812\google_satellite_z19.jpg,data\alternate_contact_sheets\google\columbia-valley\958-copper-point-way-10683812\google_satellite_contact_sheet.jpg,,data\alternate_contact_sheets\mapbox\columbia-valley\958-copper-point-way-10683812\mapbox_satellite_contact_sheet.jpg,/columbia-valley#listing-10683812,"Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.; Many deck, yard, patio, and view photos; no confirmed aerial or hot tub/pool.; z19 shows the subject structure/lot area and surro…",MLS/listing photos are research-only until rights are verified.
56,A - strong candidate,75,57,10673089,112 FOREST CROWNE Crescent,Cranbrook/Kimberley,google_overhead_house_backyard_candidate,Strong Google overhead,listing,"1,3,6,7,8,22",0,9,data\aerial\cranbrook_kimberley\112-forest-crowne-crescent-10673089\esri_world_imagery_z19\z19_x93247_y178616.jpg,data\contact_sheets\cranbrook_kimberley\112-forest-crowne-crescent-10673089\aerial_contact_sheet.jpg,data\mls_contact_sheets\cranbrook_kimberley\112-forest-crowne-crescent-10673089\mls_contact_sheet.jpg,data\alternate_aerial\google\cranbrook-kimberley\112-forest-crowne-crescent-10673089\google_satellite_z19.jpg,data\alternate_contact_sheets\google\cranbrook-kimberley\112-forest-crowne-crescent-10673089\google_satellite_contact_sheet.jpg,,data\alternate_contact_sheets\mapbox\cranbrook-kimberley\112-forest-crowne-crescent-10673089\mapbox_satellite_contact_sheet.jpg,/cranbrook-kimberley#listing-10673089,"Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.; Exterior, patio/railing views, and scenic outlook shots; no clear drone/aerial or pool/hot tub.; z19 cleanly captures the house,…",MLS/listing photos are research-only until rights are verified.
57,A - strong candidate,76,57,10663121,1362 11TH Avenue,Fernie/Sparwood,google_overhead_house_backyard_candidate,Strong Google overhead,listing,"1,7,10,11,13,16",0,9,data\aerial\fernie_sparwood\1362-11th-avenue-10663121\esri_world_imagery_z19\z19_x94569_y178904.jpg,data\contact_sheets\fernie_sparwood\1362-11th-avenue-10663121\aerial_contact_sheet.jpg,data\mls_contact_sheets\fernie_sparwood\1362-11th-avenue-10663121\mls_contact_sheet.jpg,data\alternate_aerial\google\fernie-sparwood\1362-11th-avenue-10663121\google_satellite_z19.jpg,data\alternate_contact_sheets\google\fernie-sparwood\1362-11th-avenue-10663121\google_satellite_contact_sheet.jpg,,data\alternate_contact_sheets\mapbox\fernie-sparwood\1362-11th-avenue-10663121\mapbox_satellite_contact_sheet.jpg,/fernie-sparwood#listing-10663121,Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.; Goal review: many ground-level exterior/patio/yard views showing house and yard context; no aerial or top-down/elevated overview.…,MLS/listing photos are research-only until rights are verified.
58,A - strong candidate,77,57,20077373,166 304th Avenue,Cranbrook/Kimberley,google_overhead_house_backyard_candidate,Strong Google overhead,listing,"3,2,17,24,25",0,9,data\aerial\cranbrook_kimberley\166-304th-avenue-20077373\esri_world_imagery_z19\z19_x93263_y178622.jpg,data\contact_sheets\cranbrook_kimberley\166-304th-avenue-20077373\aerial_contact_sheet.jpg,data\mls_contact_sheets\cranbrook_kimberley\166-304th-avenue-20077373\mls_contact_sheet.jpg,data\alternate_aerial\google\cranbrook-kimberley\166-304th-avenue-20077373\google_satellite_z19.jpg,data\alternate_contact_sheets\google\cranbrook-kimberley\166-304th-avenue-20077373\google_satellite_contact_sheet.jpg,,data\alternate_contact_sheets\mapbox\cranbrook-kimberley\166-304th-avenue-20077373\mapbox_satellite_contact_sheet.jpg,/cranbrook-kimberley#listing-20077373,"Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.; Multiple exterior/courtyard/deck views, but no clear drone/aerial or water feature.; z19 shows house/driveway and surrounding lot…",MLS/listing photos are research-only until rights are verified.
59,A - strong candidate,78,57,10675368,201 1ST Avenue,Fernie/Sparwood,google_overhead_house_backyard_candidate,Strong Google overhead,listing,"29,30,27,28,26",0,9,data\aerial\fernie_sparwood\201-1st-avenue-10675368\esri_world_imagery_z19\z19_x94571_y178935.jpg,data\contact_sheets\fernie_sparwood\201-1st-avenue-10675368\aerial_contact_sheet.jpg,data\mls_contact_sheets\fernie_sparwood\201-1st-avenue-10675368\mls_contact_sheet.jpg,data\alternate_aerial\google\fernie-sparwood\201-1st-avenue-10675368\google_satellite_z19.jpg,data\alternate_contact_sheets\google\fernie-sparwood\201-1st-avenue-10675368\google_satellite_contact_sheet.jpg,,data\alternate_contact_sheets\mapbox\fernie-sparwood\201-1st-avenue-10675368\mapbox_satellite_contact_sheet.jpg,/fernie-sparwood#listing-10675368,Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.; Goal review: no aerial or elevated view. Exterior photos 26-30 show house with fenced yard/lot context from ground level; 29-30 a…,MLS/listing photos are research-only until rights are verified.
60,A - strong candidate,79,57,10679212,2108 WHISKEY JACK Drive,Fernie/Sparwood,google_overhead_house_backyard_candidate,Strong Google overhead,listing,"7,6,3,4,1,5",7,2,data\aerial\fernie_sparwood\2108-whiskey-jack-drive-10679212\esri_world_imagery_z19\z19_x94814_y178360.jpg,data\contact_sheets\fernie_sparwood\2108-whiskey-jack-drive-10679212\aerial_contact_sheet.jpg,data\mls_contact_sheets\fernie_sparwood\2108-whiskey-jack-drive-10679212\mls_contact_sheet.jpg,data\alternate_aerial\google\fernie-sparwood\2108-whiskey-jack-drive-10679212\google_satellite_z19.jpg,data\alternate_contact_sheets\google\fernie-sparwood\2108-whiskey-jack-drive-10679212\google_satellite_contact_sheet.jpg,,data\alternate_contact_sheets\mapbox\fernie-sparwood\2108-whiskey-jack-drive-10679212\mapbox_satellite_contact_sheet.jpg,/fernie-sparwood#listing-10679212,"Vision batch 002: print_mockup_potential=low; best_candidate_tile=none; Center tile shows roadway and pale open ground; no usable backyard scene.; Goal review: no aerial/top-down shot, but several wide exterior ground-level photos show house with large surrou…",MLS/listing photos are research-only until rights are verified.
61,A - strong candidate,80,57,10670943,22 COAL CREEK Road,Fernie/Sparwood,google_overhead_house_backyard_candidate,Strong Google overhead,listing,"1,2,3,7,9",0,9,data\aerial\fernie_sparwood\22-coal-creek-road-10670943\esri_world_imagery_z19\z19_x94571_y178939.jpg,data\contact_sheets\fernie_sparwood\22-coal-creek-road-10670943\aerial_contact_sheet.jpg,data\mls_contact_sheets\fernie_sparwood\22-coal-creek-road-10670943\mls_contact_sheet.jpg,data\alternate_aerial\google\fernie-sparwood\22-coal-creek-road-10670943\google_satellite_z19.jpg,data\alternate_contact_sheets\google\fernie-sparwood\22-coal-creek-road-10670943\google_satellite_contact_sheet.jpg,,data\alternate_contact_sheets\mapbox\fernie-sparwood\22-coal-creek-road-10670943\mapbox_satellite_contact_sheet.jpg,/fernie-sparwood#listing-10670943,"Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.; Goal review: no aerial/elevated view visible. Wide ground-level yard/driveway/rear exterior shots give some sense of lot, but not…",MLS/listing photos are research-only until rights are verified.
62,A - strong candidate,81,57,10677502,2537 LEDGEROCK Ridge,Columbia Valley,google_overhead_house_backyard_candidate,Strong Google overhead,listing,"1,18,22,23,24",0,9,data\aerial\columbia_valley\2537-ledgerock-ridge-10677502\esri_world_imagery_z19\z19_x93147_y176714.jpg,data\contact_sheets\columbia_valley\2537-ledgerock-ridge-10677502\aerial_contact_sheet.jpg,data\mls_contact_sheets\columbia_valley\2537-ledgerock-ridge-10677502\mls_contact_sheet.jpg,data\alternate_aerial\google\columbia-valley\2537-ledgerock-ridge-10677502\google_satellite_z19.jpg,data\alternate_contact_sheets\google\columbia-valley\2537-ledgerock-ridge-10677502\google_satellite_contact_sheet.jpg,,data\alternate_contact_sheets\mapbox\columbia-valley\2537-ledgerock-ridge-10677502\mapbox_satellite_contact_sheet.jpg,/columbia-valley#listing-10677502,"Vision batch 003: print_mockup_potential=low; best_candidate_tile=none; All aerial tiles show 'Map data not yet available'; no property features visible.; Exterior, deck, patio/view, and treed outlook images; no true aerial; no visible pool/hot tub.; House an…",MLS/listing photos are research-only until rights are verified.
63,A - strong candidate,82,57,10660407,2589 LEDGEROCK Court,Columbia Valley,google_overhead_house_backyard_candidate,Strong Google overhead,listing,"3,4,1,2",0,9,data\aerial\columbia_valley\2589-ledgerock-court-10660407\esri_world_imagery_z19\z19_x93149_y176722.jpg,data\contact_sheets\columbia_valley\2589-ledgerock-court-10660407\aerial_contact_sheet.jpg,data\mls_contact_sheets\columbia_valley\2589-ledgerock-court-10660407\mls_contact_sheet.jpg,data\alternate_aerial\google\columbia-valley\2589-ledgerock-court-10660407\google_satellite_z19.jpg,data\alternate_contact_sheets\google\columbia-valley\2589-ledgerock-court-10660407\google_satellite_contact_sheet.jpg,,data\alternate_contact_sheets\mapbox\columbia-valley\2589-ledgerock-court-10660407\mapbox_satellite_contact_sheet.jpg,/columbia-valley#listing-10660407,Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.; Goal review: no clear aerial/top-down images. Best available are ground-level exterior/yard views: photos 3 and 4 show house with…,MLS/listing photos are research-only until rights are verified.
64,A - strong candidate,83,57,10676027,29 RIDGEMONT Drive,Fernie/Sparwood,google_overhead_house_backyard_candidate,Strong Google overhead,listing,"28,29,27,30,26",0,9,data\aerial\fernie_sparwood\29-ridgemont-drive-10676027\esri_world_imagery_z19\z19_x94583_y178929.jpg,data\contact_sheets\fernie_sparwood\29-ridgemont-drive-10676027\aerial_contact_sheet.jpg,data\mls_contact_sheets\fernie_sparwood\29-ridgemont-drive-10676027\mls_contact_sheet.jpg,data\alternate_aerial\google\fernie-sparwood\29-ridgemont-drive-10676027\google_satellite_z19.jpg,data\alternate_contact_sheets\google\fernie-sparwood\29-ridgemont-drive-10676027\google_satellite_contact_sheet.jpg,,data\alternate_contact_sheets\mapbox\fernie-sparwood\29-ridgemont-drive-10676027\mapbox_satellite_contact_sheet.jpg,/fernie-sparwood#listing-10676027,Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.; Goal review: no true aerial/top-down. Photos 26-30 are the best available elevated/backyard-view candidates showing yard/lot cont…,MLS/listing photos are research-only until rights are verified.
65,A - strong candidate,84,57,20073830,311 302nd Avenue,Cranbrook/Kimberley,google_overhead_house_backyard_candidate,Strong Google overhead,listing,"3,6,7,4,11",0,9,data\aerial\cranbrook_kimberley\311-302nd-avenue-20073830\esri_world_imagery_z19\z19_x93260_y178628.jpg,data\contact_sheets\cranbrook_kimberley\311-302nd-avenue-20073830\aerial_contact_sheet.jpg,data\mls_contact_sheets\cranbrook_kimberley\311-302nd-avenue-20073830\mls_contact_sheet.jpg,data\alternate_aerial\google\cranbrook-kimberley\311-302nd-avenue-20073830\google_satellite_z19.jpg,data\alternate_contact_sheets\google\cranbrook-kimberley\311-302nd-avenue-20073830\google_satellite_contact_sheet.jpg,,data\alternate_contact_sheets\mapbox\cranbrook-kimberley\311-302nd-avenue-20073830\mapbox_satellite_contact_sheet.jpg,/cranbrook-kimberley#listing-20073830,"Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.; Goal review: no aerial/top-down/elevated views. Wide ground-level exterior shots show house, detached garage, yard/lot, and treed…",MLS/listing photos are research-only until rights are verified.
66,A - strong candidate,85,57,20022685,405 7TH Avenue,Cranbrook/Kimberley,google_overhead_house_backyard_candidate,Strong Google overhead,listing,"1,2,5,7",0,9,data\aerial\cranbrook_kimberley\405-7th-avenue-20022685\esri_world_imagery_z19\z19_x93228_y178501.jpg,data\contact_sheets\cranbrook_kimberley\405-7th-avenue-20022685\aerial_contact_sheet.jpg,data\mls_contact_sheets\cranbrook_kimberley\405-7th-avenue-20022685\mls_contact_sheet.jpg,data\alternate_aerial\google\cranbrook-kimberley\405-7th-avenue-20022685\google_satellite_z19.jpg,data\alternate_contact_sheets\google\cranbrook-kimberley\405-7th-avenue-20022685\google_satellite_contact_sheet.jpg,,data\alternate_contact_sheets\mapbox\cranbrook-kimberley\405-7th-avenue-20022685\mapbox_satellite_contact_sheet.jpg,/cranbrook-kimberley#listing-20022685,Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.; Multiple exterior/front/yard angles; no aerial or amenity water feature visible.; House and lot visible with useful context; some…,MLS/listing photos are research-only until rights are verified.
67,A - strong candidate,86,57,20003058,4315 LAKEVIEW Drive,Cranbrook/Kimberley,google_overhead_house_backyard_candidate,Strong Google overhead,listing,"1,2,3,4",0,9,data\aerial\cranbrook_kimberley\4315-lakeview-drive-20003058\esri_world_imagery_z19\z19_x93427_y178973.jpg,data\contact_sheets\cranbrook_kimberley\4315-lakeview-drive-20003058\aerial_contact_sheet.jpg,data\mls_contact_sheets\cranbrook_kimberley\4315-lakeview-drive-20003058\mls_contact_sheet.jpg,data\alternate_aerial\google\cranbrook-kimberley\4315-lakeview-drive-20003058\google_satellite_z20.jpg,data\alternate_contact_sheets\google\cranbrook-kimberley\4315-lakeview-drive-20003058\google_satellite_contact_sheet.jpg,,data\alternate_contact_sheets\mapbox\cranbrook-kimberley\4315-lakeview-drive-20003058\mapbox_satellite_contact_sheet.jpg,/cranbrook-kimberley#listing-20003058,"Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.; Cabin exterior and wooded setting shots; no clear drone/aerial or hot tub/pool.; Clear overhead of house, driveway, surrounding y…",MLS/listing photos are research-only until rights are verified.
68,A - strong candidate,87,57,10671043,4690 NORTH Street,Columbia Valley,google_overhead_house_backyard_candidate,Strong Google overhead,listing,"1,2,3",0,9,data\aerial\columbia_valley\4690-north-street-10671043\esri_world_imagery_z19\z19_x93222_y176747.jpg,data\contact_sheets\columbia_valley\4690-north-street-10671043\aerial_contact_sheet.jpg,data\mls_contact_sheets\columbia_valley\4690-north-street-10671043\mls_contact_sheet.jpg,data\alternate_aerial\google\columbia-valley\4690-north-street-10671043\google_satellite_z19.jpg,data\alternate_contact_sheets\google\columbia-valley\4690-north-street-10671043\google_satellite_contact_sheet.jpg,,data\alternate_contact_sheets\mapbox\columbia-valley\4690-north-street-10671043\mapbox_satellite_contact_sheet.jpg,/columbia-valley#listing-10671043,Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.; Goal review: no aerial/top-down house+lot image. Ground-level exterior shots show house with lawn/yard; elevated deck/view images…,MLS/listing photos are research-only until rights are verified.
69,A - strong candidate,88,57,20070160,530 Trail Street,Cranbrook/Kimberley,google_overhead_house_backyard_candidate,Strong Google overhead,listing,"1,2,3",0,9,data\aerial\cranbrook_kimberley\530-trail-street-20070160\esri_world_imagery_z19\z19_x93232_y178508.jpg,data\contact_sheets\cranbrook_kimberley\530-trail-street-20070160\aerial_contact_sheet.jpg,data\mls_contact_sheets\cranbrook_kimberley\530-trail-street-20070160\mls_contact_sheet.jpg,data\alternate_aerial\google\cranbrook-kimberley\530-trail-street-20070160\google_satellite_z19.jpg,data\alternate_contact_sheets\google\cranbrook-kimberley\530-trail-street-20070160\google_satellite_contact_sheet.jpg,,data\alternate_contact_sheets\mapbox\cranbrook-kimberley\530-trail-street-20070160\mapbox_satellite_contact_sheet.jpg,/cranbrook-kimberley#listing-20070160,"Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.; Outdoor marketing mostly front/exterior and walkway/yard context; limited backyard content in visible set.; Shows house, street f…",MLS/listing photos are research-only until rights are verified.
70,A - strong candidate,89,57,10673062,6853 ROSEN LAKE E Road,Fernie/Sparwood,google_overhead_house_backyard_candidate,Strong Google overhead,listing,"2,6,7,26",0,9,data\aerial\fernie_sparwood\6853-rosen-lake-e-road-10673062\esri_world_imagery_z19\z19_x94290_y179174.jpg,data\contact_sheets\fernie_sparwood\6853-rosen-lake-e-road-10673062\aerial_contact_sheet.jpg,data\mls_contact_sheets\fernie_sparwood\6853-rosen-lake-e-road-10673062\mls_contact_sheet.jpg,data\alternate_aerial\google\fernie-sparwood\6853-rosen-lake-e-road-10673062\google_satellite_z19.jpg,data\alternate_contact_sheets\google\fernie-sparwood\6853-rosen-lake-e-road-10673062\google_satellite_contact_sheet.jpg,,data\alternate_contact_sheets\mapbox\fernie-sparwood\6853-rosen-lake-e-road-10673062\mapbox_satellite_contact_sheet.jpg,/fernie-sparwood#listing-10673062,"Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.; Goal review: no aerial. Several ground-level exterior/deck/yard views show house-adjacent outdoor areas and lot feel, but not a t…",MLS/listing photos are research-only until rights are verified.
71,A - strong candidate,90,57,10679813,701 34TH S Avenue,Cranbrook/Kimberley,google_overhead_house_backyard_candidate,Strong Google overhead,listing,"1,2,3,4,5,6,7",0,9,data\aerial\cranbrook_kimberley\701-34th-s-avenue-10679813\esri_world_imagery_z19\z19_x93594_y178932.jpg,data\contact_sheets\cranbrook_kimberley\701-34th-s-avenue-10679813\aerial_contact_sheet.jpg,data\mls_contact_sheets\cranbrook_kimberley\701-34th-s-avenue-10679813\mls_contact_sheet.jpg,data\alternate_aerial\google\cranbrook-kimberley\701-34th-s-avenue-10679813\google_satellite_z20.jpg,data\alternate_contact_sheets\google\cranbrook-kimberley\701-34th-s-avenue-10679813\google_satellite_contact_sheet.jpg,,data\alternate_contact_sheets\mapbox\cranbrook-kimberley\701-34th-s-avenue-10679813\mapbox_satellite_contact_sheet.jpg,/cranbrook-kimberley#listing-10679813,"Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.; Multiple exterior/yard angles and driveway/porch shots; no clear drone or water feature.; Clear view of house, yard, driveway, an…",MLS/listing photos are research-only until rights are verified.
72,A - strong candidate,91,57,10693834,821 6TH Avenue,Cranbrook/Kimberley,google_overhead_house_backyard_candidate,Strong Google overhead,listing,"1,2,3,4,5",0,9,data\aerial\cranbrook_kimberley\821-6th-avenue-10693834\esri_world_imagery_z19\z19_x93223_y178484.jpg,data\contact_sheets\cranbrook_kimberley\821-6th-avenue-10693834\aerial_contact_sheet.jpg,data\mls_contact_sheets\cranbrook_kimberley\821-6th-avenue-10693834\mls_contact_sheet.jpg,data\alternate_aerial\google\cranbrook-kimberley\821-6th-avenue-10693834\google_satellite_z19.jpg,data\alternate_contact_sheets\google\cranbrook-kimberley\821-6th-avenue-10693834\google_satellite_contact_sheet.jpg,,data\alternate_contact_sheets\mapbox\cranbrook-kimberley\821-6th-avenue-10693834\mapbox_satellite_contact_sheet.jpg,/cranbrook-kimberley#listing-10693834,Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.; Winter exterior/yard photos only; limited outdoor marketing beyond front/side views.; z19 shows house and surrounding lot/backyar…,MLS/listing photos are research-only until rights are verified.
73,A - strong candidate,92,57,20022908,842 8TH Avenue,Fernie/Sparwood,google_overhead_house_backyard_candidate,Strong Google overhead,listing,"2,4,5,6,7,20",0,9,data\aerial\fernie_sparwood\842-8th-avenue-20022908\esri_world_imagery_z19\z19_x94567_y178916.jpg,data\contact_sheets\fernie_sparwood\842-8th-avenue-20022908\aerial_contact_sheet.jpg,data\mls_contact_sheets\fernie_sparwood\842-8th-avenue-20022908\mls_contact_sheet.jpg,data\alternate_aerial\google\fernie-sparwood\842-8th-avenue-20022908\google_satellite_z19.jpg,data\alternate_contact_sheets\google\fernie-sparwood\842-8th-avenue-20022908\google_satellite_contact_sheet.jpg,,data\alternate_contact_sheets\mapbox\fernie-sparwood\842-8th-avenue-20022908\mapbox_satellite_contact_sheet.jpg,/fernie-sparwood#listing-20022908,Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.; Goal review: no drone/top-down. Several ground-level yard shots show house plus large lot/backyard well; photo 20 appears elevate…,MLS/listing photos are research-only until rights are verified.
