priority_rank,review_status,source_label,listing_id,address,area,subarea,latitude,longitude,coordinate_confidence,best_overhead_candidate,contact_sheet,aerial_tile_count,image_quality_score_auto,center_tile_bytes,center_tile_brightness,center_tile_contrast,backyard_visibility,overhead_quality,hot_tub_visible,mls_photo_count,source_risk,notes,aerial_placeholder_tiles,aerial_real_tiles
48,vision_reviewed_batch_003_no_aerial_imagery,Columbia Valley,10680589,2510 COBBLESTONE Trail,Kootenay,IN - Invermere,50.48338259,-116.04173624,listing,data\aerial\columbia_valley\2510-cobblestone-trail-10680589\esri_world_imagery_z19\z19_x93145_y176708.jpg,data\contact_sheets\columbia_valley\2510-cobblestone-trail-10680589\aerial_contact_sheet.jpg,9,7,2521,204.7,5.4,unclear,poor,unclear,34,research_only_verify_license,Vision batch 003: print_mockup_potential=low; best_candidate_tile=none; All aerial tiles show 'Map data not yet available'; no property features visible.,9,0
49,vision_reviewed_batch_003_no_aerial_imagery,Columbia Valley,10631447,2527 LEDGEROCK Ridge,Kootenay,IN - Invermere,50.506456,-116.029143,listing,data\aerial\columbia_valley\2527-ledgerock-ridge-10631447\esri_world_imagery_z19\z19_x93164_y176655.jpg,data\contact_sheets\columbia_valley\2527-ledgerock-ridge-10631447\aerial_contact_sheet.jpg,9,7,2521,204.7,5.4,unclear,poor,unclear,16,research_only_verify_license,Vision batch 003: print_mockup_potential=low; best_candidate_tile=none; All aerial tiles show 'Map data not yet available'; no property features visible.,9,0
50,vision_reviewed_batch_003_no_aerial_imagery,Columbia Valley,10677502,2537 LEDGEROCK Ridge,Kootenay,IN - Invermere,50.48067248,-116.0404858,listing,data\aerial\columbia_valley\2537-ledgerock-ridge-10677502\esri_world_imagery_z19\z19_x93147_y176714.jpg,data\contact_sheets\columbia_valley\2537-ledgerock-ridge-10677502\aerial_contact_sheet.jpg,9,7,2521,204.7,5.4,unclear,poor,unclear,66,research_only_verify_license,Vision batch 003: print_mockup_potential=low; best_candidate_tile=none; All aerial tiles show 'Map data not yet available'; no property features visible.,9,0
51,blocked_no_aerial_imagery,Columbia Valley,10684446,2543 LEDGEROCK Ridge,Kootenay,IN - Invermere,50.48010704,-116.03984233,listing,data\aerial\columbia_valley\2543-ledgerock-ridge-10684446\esri_world_imagery_z19\z19_x93148_y176716.jpg,data\contact_sheets\columbia_valley\2543-ledgerock-ridge-10684446\aerial_contact_sheet.jpg,9,7,2521,204.7,5.4,unclear,poor,unclear,50,research_only_verify_license,Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.,9,0
52,blocked_no_aerial_imagery,Columbia Valley,10669410,2572 LEDGEROCK Ridge,Kootenay,IN - Invermere,50.47875815,-116.03948095,listing,data\aerial\columbia_valley\2572-ledgerock-ridge-10669410\esri_world_imagery_z19\z19_x93149_y176719.jpg,data\contact_sheets\columbia_valley\2572-ledgerock-ridge-10669410\aerial_contact_sheet.jpg,9,7,2521,204.7,5.4,unclear,poor,unclear,37,research_only_verify_license,Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.,9,0
53,blocked_no_aerial_imagery,Columbia Valley,10672111,2577 SANDSTONE Circle,Kootenay,IN - Invermere,50.47914710,-116.04140250,house_geocode,data\aerial\columbia_valley\2577-sandstone-circle-10672111\esri_world_imagery_z19\z19_x93146_y176718.jpg,data\contact_sheets\columbia_valley\2577-sandstone-circle-10672111\aerial_contact_sheet.jpg,9,7,2521,204.7,5.4,unclear,poor,unclear,70,research_only_verify_license,"Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.; Coordinate fallback applied: 2577 Sandstone Circle, Invermere, BC (nominatim); recollected ArcGIS z19 tiles. Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.",9,0
54,blocked_no_aerial_imagery,Columbia Valley,10680456,2580 SANDSTONE View,Kootenay,IN - Invermere,50.47808227,-116.04208608,listing,data\aerial\columbia_valley\2580-sandstone-view-10680456\esri_world_imagery_z19\z19_x93145_y176720.jpg,data\contact_sheets\columbia_valley\2580-sandstone-view-10680456\aerial_contact_sheet.jpg,9,7,2521,204.7,5.4,unclear,poor,unclear,36,research_only_verify_license,Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.,9,0
55,blocked_no_aerial_imagery,Columbia Valley,10671250,2588 LEDGEROCK Ridge,Kootenay,IN - Invermere,50.47752546,-116.03982505,listing,data\aerial\columbia_valley\2588-ledgerock-ridge-10671250\esri_world_imagery_z19\z19_x93148_y176722.jpg,data\contact_sheets\columbia_valley\2588-ledgerock-ridge-10671250\aerial_contact_sheet.jpg,9,7,2521,204.7,5.4,unclear,poor,unclear,40,research_only_verify_license,Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.,9,0
56,blocked_no_aerial_imagery,Columbia Valley,10660407,2589 LEDGEROCK Court,Kootenay,IN - Invermere,50.477448,-116.039254,listing,data\aerial\columbia_valley\2589-ledgerock-court-10660407\esri_world_imagery_z19\z19_x93149_y176722.jpg,data\contact_sheets\columbia_valley\2589-ledgerock-court-10660407\aerial_contact_sheet.jpg,9,7,2521,204.7,5.4,unclear,poor,unclear,37,research_only_verify_license,Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.,9,0
57,blocked_no_aerial_imagery,Columbia Valley,20051381,31 - 640 Upper Lakeview Road,Kootenay,IN - Invermere,50.50632787,-116.00840706,listing,data\aerial\columbia_valley\31-640-upper-lakeview-road-20051381\esri_world_imagery_z19\z19_x93194_y176656.jpg,data\contact_sheets\columbia_valley\31-640-upper-lakeview-road-20051381\aerial_contact_sheet.jpg,9,7,2521,204.7,5.4,unclear,poor,unclear,46,research_only_verify_license,Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.,9,0
58,blocked_no_aerial_imagery,Columbia Valley,10672915,3415 CROOKED TREE Place,Kootenay,INRU - Fairmont/Columbia Lake,50.4071838,-115.8829229,listing,data\aerial\columbia_valley\3415-crooked-tree-place-10672915\esri_world_imagery_z19\z19_x93377_y176883.jpg,data\contact_sheets\columbia_valley\3415-crooked-tree-place-10672915\aerial_contact_sheet.jpg,9,7,2521,204.7,5.4,unclear,poor,unclear,64,research_only_verify_license,Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.,9,0
59,blocked_no_aerial_imagery,Columbia Valley,10619308,368 PANORAMA Place,Kootenay,INRU - Panorama,50.459193,-116.235491,listing,data\aerial\columbia_valley\368-panorama-place-10619308\esri_world_imagery_z19\z19_x92863_y176764.jpg,data\contact_sheets\columbia_valley\368-panorama-place-10619308\aerial_contact_sheet.jpg,9,7,2521,204.7,5.4,unclear,poor,unclear,19,research_only_verify_license,Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.,9,0
60,blocked_no_aerial_imagery,Columbia Valley,10650499,402 WESTRIDGE View,Kootenay,IN - Invermere,50.498897,-116.043327,listing,data\aerial\columbia_valley\402-westridge-view-10650499\esri_world_imagery_z19\z19_x93143_y176673.jpg,data\contact_sheets\columbia_valley\402-westridge-view-10650499\aerial_contact_sheet.jpg,9,7,2521,204.7,5.4,unclear,poor,unclear,37,research_only_verify_license,Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.,9,0
61,blocked_no_aerial_imagery,Columbia Valley,10682429,4476 COLUMBIA VIEW Road,Kootenay,INRU - Fairmont/Columbia Lake,50.29279698,-115.88196126,listing,data\aerial\columbia_valley\4476-columbia-view-road-10682429\esri_world_imagery_z19\z19_x93378_y177144.jpg,data\contact_sheets\columbia_valley\4476-columbia-view-road-10682429\aerial_contact_sheet.jpg,9,7,2521,204.7,5.4,unclear,poor,unclear,61,research_only_verify_license,Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.,9,0
62,blocked_no_aerial_imagery,Columbia Valley,10572288,4552 COLUMBIA VIEW Road,Kootenay,INRU - Fairmont/Columbia Lake,50.287811,-115.880401,listing,data\aerial\columbia_valley\4552-columbia-view-road-10572288\esri_world_imagery_z19\z19_x93380_y177155.jpg,data\contact_sheets\columbia_valley\4552-columbia-view-road-10572288\aerial_contact_sheet.jpg,9,7,2521,204.7,5.4,unclear,poor,unclear,10,research_only_verify_license,Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.,9,0
63,blocked_no_aerial_imagery,Columbia Valley,20076380,4573 Columere Road,Kootenay,INRU - Fairmont/Columbia Lake,50.28973934,-115.87812296,listing,data\aerial\columbia_valley\4573-columere-road-20076380\esri_world_imagery_z19\z19_x93384_y177151.jpg,data\contact_sheets\columbia_valley\4573-columere-road-20076380\aerial_contact_sheet.jpg,9,7,2521,204.7,5.4,unclear,poor,unclear,47,research_only_verify_license,Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.,9,0
64,blocked_no_aerial_imagery,Columbia Valley,10673047,4576 COLUMERE Road,Kootenay,INRU - Fairmont/Columbia Lake,50.28959785,-115.87779063,listing,data\aerial\columbia_valley\4576-columere-road-10673047\esri_world_imagery_z19\z19_x93384_y177151.jpg,data\contact_sheets\columbia_valley\4576-columere-road-10673047\aerial_contact_sheet.jpg,9,7,2521,204.7,5.4,unclear,poor,unclear,54,research_only_verify_license,Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.,9,0
65,blocked_no_aerial_imagery,Columbia Valley,10592929,4582 COLUMBIA VIEW Road,Kootenay,INRU - Fairmont/Columbia Lake,50.287071,-115.87679,listing,data\aerial\columbia_valley\4582-columbia-view-road-10592929\esri_world_imagery_z19\z19_x93386_y177157.jpg,data\contact_sheets\columbia_valley\4582-columbia-view-road-10592929\aerial_contact_sheet.jpg,9,7,2521,204.7,5.4,unclear,poor,unclear,10,research_only_verify_license,Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.,9,0
66,blocked_no_aerial_imagery,Columbia Valley,20021525,4585 COLUMERE Road,Kootenay,INRU - Fairmont/Columbia Lake,50.28997306,-115.87751647,listing,data\aerial\columbia_valley\4585-columere-road-20021525\esri_world_imagery_z19\z19_x93385_y177150.jpg,data\contact_sheets\columbia_valley\4585-columere-road-20021525\aerial_contact_sheet.jpg,9,7,2521,204.7,5.4,unclear,poor,unclear,40,research_only_verify_license,Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.,9,0
67,blocked_no_aerial_imagery,Columbia Valley,10590002,4642 ROWAN Street,Kootenay,INRU - Windermere,50.458174,-115.989137,listing,data\aerial\columbia_valley\4642-rowan-street-10590002\esri_world_imagery_z19\z19_x93222_y176766.jpg,data\contact_sheets\columbia_valley\4642-rowan-street-10590002\aerial_contact_sheet.jpg,9,7,2521,204.7,5.4,unclear,poor,unclear,10,research_only_verify_license,Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.,9,0
68,blocked_no_aerial_imagery,Columbia Valley,10659027,4642 ROWAN Street,Kootenay,INRU - Windermere,50.45787041,-115.98951291,point_geocode,data\aerial\columbia_valley\4642-rowan-street-10659027\esri_world_imagery_z19\z19_x93222_y176767.jpg,data\contact_sheets\columbia_valley\4642-rowan-street-10659027\aerial_contact_sheet.jpg,9,7,2521,204.7,5.4,unclear,poor,unclear,38,research_only_verify_license,"Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.; Coordinate fallback applied: 4642 Rowan St, Windermere, British Columbia, V0B 2L2 (arcgis_world_geocoder_manual_variant); recollected ArcGIS z19 tiles. Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.",9,0
69,blocked_no_aerial_imagery,Columbia Valley,10680461,4671 POPLAR Street,Kootenay,INRU - Windermere,50.45666815,-115.98669718,listing,data\aerial\columbia_valley\4671-poplar-street-10680461\esri_world_imagery_z19\z19_x93226_y176769.jpg,data\contact_sheets\columbia_valley\4671-poplar-street-10680461\aerial_contact_sheet.jpg,9,7,2521,204.7,5.4,unclear,poor,unclear,55,research_only_verify_license,Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.,9,0
70,blocked_no_aerial_imagery,Columbia Valley,10671043,4690 NORTH Street,Kootenay,INRU - Windermere,50.4663123,-115.98905013,listing,data\aerial\columbia_valley\4690-north-street-10671043\esri_world_imagery_z19\z19_x93222_y176747.jpg,data\contact_sheets\columbia_valley\4690-north-street-10671043\aerial_contact_sheet.jpg,9,7,2521,204.7,5.4,unclear,poor,unclear,45,research_only_verify_license,Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.,9,0
71,blocked_no_aerial_imagery,Columbia Valley,10607338,4764 TIMBER RIDGE Road,Kootenay,INRU - Windermere,50.49162910,-115.99699200,street_geocode,data\aerial\columbia_valley\4764-timber-ridge-road-10607338\esri_world_imagery_z19\z19_x93211_y176689.jpg,data\contact_sheets\columbia_valley\4764-timber-ridge-road-10607338\aerial_contact_sheet.jpg,9,7,2521,204.7,5.4,unclear,poor,unclear,10,research_only_verify_license,"Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.; Coordinate fallback applied: Timber Ridge Road, Area F, East Kootenay, BC (nominatim); recollected ArcGIS z19 tiles. Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.",9,0
72,blocked_no_aerial_imagery,Columbia Valley,10644065,4806 HOLLAND CREEK RIDGE Road,Kootenay,INRU - Windermere,50.49683,-116.003848,listing,data\aerial\columbia_valley\4806-holland-creek-ridge-road-10644065\esri_world_imagery_z19\z19_x93201_y176678.jpg,data\contact_sheets\columbia_valley\4806-holland-creek-ridge-road-10644065\aerial_contact_sheet.jpg,9,7,2521,204.7,5.4,unclear,poor,unclear,40,research_only_verify_license,Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.,9,0
73,blocked_no_aerial_imagery,Columbia Valley,10631280,4808 LAKEHILL Road,Kootenay,INRU - Windermere,50.497861,-116.004222,listing,data\aerial\columbia_valley\4808-lakehill-road-10631280\esri_world_imagery_z19\z19_x93200_y176675.jpg,data\contact_sheets\columbia_valley\4808-lakehill-road-10631280\aerial_contact_sheet.jpg,9,7,2521,204.7,5.4,unclear,poor,unclear,19,research_only_verify_license,Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.,9,0
74,blocked_no_aerial_imagery,Columbia Valley,10629099,4815 HOLLAND CREEK RIDGE Road,Kootenay,INRU - Windermere,50.49706570,-116.00270150,street_geocode,data\aerial\columbia_valley\4815-holland-creek-ridge-road-10629099\esri_world_imagery_z19\z19_x93202_y176677.jpg,data\contact_sheets\columbia_valley\4815-holland-creek-ridge-road-10629099\aerial_contact_sheet.jpg,9,7,2521,204.7,5.4,unclear,poor,unclear,20,research_only_verify_license,"Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.; Coordinate fallback applied: Holland Creek Ridge Road, Area F, East Kootenay, BC (nominatim); recollected ArcGIS z19 tiles. Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.",9,0
75,blocked_no_aerial_imagery,Columbia Valley,10662523,4816 RIDGE Drive,Kootenay,INRU - Windermere,50.493398,-116.001187,listing,data\aerial\columbia_valley\4816-ridge-drive-10662523\esri_world_imagery_z19\z19_x93205_y176685.jpg,data\contact_sheets\columbia_valley\4816-ridge-drive-10662523\aerial_contact_sheet.jpg,9,7,2521,204.7,5.4,unclear,poor,unclear,40,research_only_verify_license,Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.,9,0
76,blocked_no_aerial_imagery,Columbia Valley,20046407,4824 MCKAY Street,Kootenay,RA - Radium Hot Springs,50.61649305,-116.07460743,listing,data\aerial\columbia_valley\4824-mckay-street-20046407\esri_world_imagery_z19\z19_x93098_y176403.jpg,data\contact_sheets\columbia_valley\4824-mckay-street-20046407\aerial_contact_sheet.jpg,9,7,2521,204.7,5.4,unclear,poor,unclear,55,research_only_verify_license,Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.,9,0
77,blocked_no_aerial_imagery,Columbia Valley,10565896,4859 HOLLAND CK RIDGE Road,Kootenay,INRU - Windermere,50.49687090,-115.99982139,point,data\aerial\columbia_valley\4859-holland-ck-ridge-road-10565896\esri_world_imagery_z19\z19_x93207_y176677.jpg,data\contact_sheets\columbia_valley\4859-holland-ck-ridge-road-10565896\aerial_contact_sheet.jpg,9,7,2521,204.7,5.4,unclear,poor,unclear,7,research_only_verify_license,Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.,9,0
78,blocked_no_aerial_imagery,Columbia Valley,10665854,4874 RIDGE Crescent,Kootenay,INRU - Windermere,50.49407189,-115.9978452,listing,data\aerial\columbia_valley\4874-ridge-crescent-10665854\esri_world_imagery_z19\z19_x93209_y176684.jpg,data\contact_sheets\columbia_valley\4874-ridge-crescent-10665854\aerial_contact_sheet.jpg,9,7,2521,204.7,5.4,unclear,poor,unclear,40,research_only_verify_license,Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.,9,0
79,blocked_no_aerial_imagery,Columbia Valley,20084577,4885 Carnoustie Place,Kootenay,INRU - Fairmont/Columbia Lake,50.33367003,-115.86303473,listing,data\aerial\columbia_valley\4885-carnoustie-place-20084577\esri_world_imagery_z19\z19_x93406_y177050.jpg,data\contact_sheets\columbia_valley\4885-carnoustie-place-20084577\aerial_contact_sheet.jpg,9,7,2521,204.7,5.4,unclear,poor,unclear,49,research_only_verify_license,Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.,9,0
80,blocked_no_aerial_imagery,Columbia Valley,20059692,4891 Glen Eagle Drive,Kootenay,INRU - Fairmont/Columbia Lake,50.33277065,-115.86319523,listing,data\aerial\columbia_valley\4891-glen-eagle-drive-20059692\esri_world_imagery_z19\z19_x93405_y177052.jpg,data\contact_sheets\columbia_valley\4891-glen-eagle-drive-20059692\aerial_contact_sheet.jpg,9,7,2521,204.7,5.4,unclear,poor,unclear,55,research_only_verify_license,Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.,9,0
81,blocked_no_aerial_imagery,Columbia Valley,10587559,4905 LAKEVIEW MEADOWS Close,Kootenay,INRU - Windermere,50.49916860,-115.99691450,street_geocode,data\aerial\columbia_valley\4905-lakeview-meadows-close-10587559\esri_world_imagery_z19\z19_x93211_y176672.jpg,data\contact_sheets\columbia_valley\4905-lakeview-meadows-close-10587559\aerial_contact_sheet.jpg,9,7,2521,204.7,5.4,unclear,poor,unclear,10,research_only_verify_license,"Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.; Coordinate fallback applied: Lakeview Meadows Close, Area F, East Kootenay, BC (nominatim); recollected ArcGIS z19 tiles. Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.",9,0
82,blocked_no_aerial_imagery,Columbia Valley,10569690,4927 LAKEVIEW MEADOWS Close,Kootenay,INRU - Windermere,50.49928719,-115.99612238,point,data\aerial\columbia_valley\4927-lakeview-meadows-close-10569690\esri_world_imagery_z19\z19_x93212_y176672.jpg,data\contact_sheets\columbia_valley\4927-lakeview-meadows-close-10569690\aerial_contact_sheet.jpg,9,7,2521,204.7,5.4,unclear,poor,unclear,5,research_only_verify_license,Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.,9,0
83,blocked_no_aerial_imagery,Columbia Valley,10666174,4931 MOUNTAIN VIEW Drive,Kootenay,INRU - Fairmont/Columbia Lake,50.34123262,-115.85205765,listing,data\aerial\columbia_valley\4931-mountain-view-drive-10666174\esri_world_imagery_z19\z19_x93422_y177033.jpg,data\contact_sheets\columbia_valley\4931-mountain-view-drive-10666174\aerial_contact_sheet.jpg,9,7,2521,204.7,5.4,unclear,poor,unclear,4,research_only_verify_license,Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.,9,0
84,blocked_no_aerial_imagery,Columbia Valley,10660433,4942 MOUNTAIN HILL Road,Kootenay,INRU - Fairmont/Columbia Lake,50.339849,-115.851814,listing,data\aerial\columbia_valley\4942-mountain-hill-road-10660433\esri_world_imagery_z19\z19_x93422_y177036.jpg,data\contact_sheets\columbia_valley\4942-mountain-hill-road-10660433\aerial_contact_sheet.jpg,9,7,2521,204.7,5.4,unclear,poor,unclear,37,research_only_verify_license,Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.,9,0
85,blocked_no_aerial_imagery,Columbia Valley,10673650,4949 MOUNTAIN HILL Road,Kootenay,INRU - Fairmont/Columbia Lake,50.34017945,-115.85252947,listing,data\aerial\columbia_valley\4949-mountain-hill-road-10673650\esri_world_imagery_z19\z19_x93421_y177036.jpg,data\contact_sheets\columbia_valley\4949-mountain-hill-road-10673650\aerial_contact_sheet.jpg,9,7,2521,204.7,5.4,unclear,poor,unclear,44,research_only_verify_license,Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.,9,0
86,blocked_no_aerial_imagery,Columbia Valley,10680493,4958 MERLO Road,Kootenay,INRU - Windermere,50.49439359,-115.99150839,point_geocode,data\aerial\columbia_valley\4958-merlo-road-10680493\esri_world_imagery_z19\z19_x93219_y176683.jpg,data\contact_sheets\columbia_valley\4958-merlo-road-10680493\aerial_contact_sheet.jpg,9,7,2521,204.7,5.4,unclear,poor,unclear,47,research_only_verify_license,"Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.; Coordinate fallback applied: 4958 Merlo Rd, Invermere, British Columbia, V0A 1K3 (arcgis_world_geocoder_manual_variant); recollected ArcGIS z19 tiles. Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.",9,0
87,blocked_no_aerial_imagery,Columbia Valley,10673667,4985 MOUNTAIN TOP Drive,Kootenay,INRU - Fairmont/Columbia Lake,50.33865403,-115.84862168,listing,data\aerial\columbia_valley\4985-mountain-top-drive-10673667\esri_world_imagery_z19\z19_x93427_y177039.jpg,data\contact_sheets\columbia_valley\4985-mountain-top-drive-10673667\aerial_contact_sheet.jpg,9,7,2521,204.7,5.4,unclear,poor,unclear,58,research_only_verify_license,Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.,9,0
88,blocked_no_aerial_imagery,Columbia Valley,20026072,4992 MOUNTAIN VIEW Drive,Kootenay,INRU - Fairmont/Columbia Lake,50.33803843,-115.84960674,listing,data\aerial\columbia_valley\4992-mountain-view-drive-20026072\esri_world_imagery_z19\z19_x93425_y177040.jpg,data\contact_sheets\columbia_valley\4992-mountain-view-drive-20026072\aerial_contact_sheet.jpg,9,7,2521,204.7,5.4,unclear,poor,unclear,49,research_only_verify_license,Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.,9,0
89,blocked_no_aerial_imagery,Columbia Valley,10573050,5009 FAIRWAY Drive,Kootenay,INRU - Fairmont/Columbia Lake,50.337223,-115.85105,listing,data\aerial\columbia_valley\5009-fairway-drive-10573050\esri_world_imagery_z19\z19_x93423_y177042.jpg,data\contact_sheets\columbia_valley\5009-fairway-drive-10573050\aerial_contact_sheet.jpg,9,7,2521,204.7,5.4,unclear,poor,unclear,10,research_only_verify_license,Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.,9,0
90,blocked_no_aerial_imagery,Columbia Valley,10682769,5025 RIVERVIEW Road,Kootenay,INRU - Fairmont/Columbia Lake,50.33398244,-115.86040344,listing,data\aerial\columbia_valley\5025-riverview-road-10682769\esri_world_imagery_z19\z19_x93410_y177050.jpg,data\contact_sheets\columbia_valley\5025-riverview-road-10682769\aerial_contact_sheet.jpg,9,7,2521,204.7,5.4,unclear,poor,unclear,12,research_only_verify_license,Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.,9,0
91,blocked_no_aerial_imagery,Columbia Valley,20080295,5132 Riverview Crescent,Kootenay,INRU - Fairmont/Columbia Lake,50.3288008,-115.86106289,listing,data\aerial\columbia_valley\5132-riverview-crescent-20080295\esri_world_imagery_z19\z19_x93409_y177062.jpg,data\contact_sheets\columbia_valley\5132-riverview-crescent-20080295\aerial_contact_sheet.jpg,9,7,2521,204.7,5.4,unclear,poor,unclear,57,research_only_verify_license,Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.,9,0
92,blocked_no_aerial_imagery,Columbia Valley,10683660,5138 RIVERVIEW Crescent,Kootenay,INRU - Fairmont/Columbia Lake,50.3281547,-115.86133465,listing,data\aerial\columbia_valley\5138-riverview-crescent-10683660\esri_world_imagery_z19\z19_x93408_y177063.jpg,data\contact_sheets\columbia_valley\5138-riverview-crescent-10683660\aerial_contact_sheet.jpg,9,7,2521,204.7,5.4,unclear,poor,unclear,43,research_only_verify_license,Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.,9,0
93,blocked_no_aerial_imagery,Columbia Valley,10523709,515 LAKEVIEW Place,Kootenay,INRU - Windermere,50.462525,-115.988646,listing,data\aerial\columbia_valley\515-lakeview-place-10523709\esri_world_imagery_z19\z19_x93223_y176756.jpg,data\contact_sheets\columbia_valley\515-lakeview-place-10523709\aerial_contact_sheet.jpg,9,7,2521,204.7,5.4,unclear,poor,unclear,1,research_only_verify_license,Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.,9,0
94,blocked_no_aerial_imagery,Columbia Valley,10677817,5151 RIVERVIEW Road,Kootenay,INRU - Fairmont/Columbia Lake,50.32700167,-115.86354632,listing,data\aerial\columbia_valley\5151-riverview-road-10677817\esri_world_imagery_z19\z19_x93405_y177066.jpg,data\contact_sheets\columbia_valley\5151-riverview-road-10677817\aerial_contact_sheet.jpg,9,7,2521,204.7,5.4,unclear,poor,unclear,82,research_only_verify_license,Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.,9,0
95,blocked_no_aerial_imagery,Columbia Valley,10570990,5156 RIVERVIEW Crescent,Kootenay,INRU - Fairmont/Columbia Lake,50.32762,-115.862353,listing,data\aerial\columbia_valley\5156-riverview-crescent-10570990\esri_world_imagery_z19\z19_x93407_y177064.jpg,data\contact_sheets\columbia_valley\5156-riverview-crescent-10570990\aerial_contact_sheet.jpg,9,7,2521,204.7,5.4,unclear,poor,unclear,10,research_only_verify_license,Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.,9,0
