triage_rank,triage_score,listing_id,address,source_label,area,subarea,coordinate_confidence,latitude,longitude,recommended_source,aerial_coverage_goal,best_overhead_candidate,aerial_contact_sheet,aerial_review_status,aerial_backyard_visibility,aerial_overhead_quality,aerial_real_tiles,aerial_placeholder_tiles,mls_contact_sheet,mls_photo_count,mls_backyard_photos,mls_drone_or_aerial,mls_best_photo_indices,mls_candidate_strength,hot_tub_or_pool_signal,source_risk,notes
58,16,20074790,215 13th Avenue S,Cranbrook/Kimberley,Kootenay,CRAN - Cranbrook South,listing,49.50765696,-115.76380623,blocked_arcgis_no_imagery,no_arcgis_overhead_available,data\aerial\cranbrook_kimberley\215-13th-avenue-s-20074790\esri_world_imagery_z19\z19_x93550_y178919.jpg,data\contact_sheets\cranbrook_kimberley\215-13th-avenue-s-20074790\aerial_contact_sheet.jpg,blocked_no_aerial_imagery,unclear,poor,0,9,data\mls_contact_sheets\cranbrook_kimberley\215-13th-avenue-s-20074790\mls_contact_sheet.jpg,30,yes,no,"20,22,23,27,29",high,no,research_only_verify_license,"Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.; Extensive landscaped garden/backyard sequence with paths, fencing, patio seating."
59,16,10672915,3415 CROOKED TREE Place,Columbia Valley,Kootenay,INRU - Fairmont/Columbia Lake,listing,50.4071838,-115.8829229,blocked_arcgis_no_imagery,no_arcgis_overhead_available,data\aerial\columbia_valley\3415-crooked-tree-place-10672915\esri_world_imagery_z19\z19_x93377_y176883.jpg,data\contact_sheets\columbia_valley\3415-crooked-tree-place-10672915\aerial_contact_sheet.jpg,blocked_no_aerial_imagery,unclear,poor,0,9,data\mls_contact_sheets\columbia_valley\3415-crooked-tree-place-10672915\mls_contact_sheet.jpg,30,yes,no,"1,2,3,4,5,6,7,8,9,10,11,12,13",high,no,research_only_verify_license,"Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.; Extensive ground-level exterior, yard, driveway, deck, and mountain/setting views; no definite drone; no pool/hot tub."
60,16,20022519,611 NELSON Street,Cranbrook/Kimberley,Kootenay,KI - Kimberley,listing,49.69193634,-115.981125,blocked_arcgis_no_imagery,no_arcgis_overhead_available,data\aerial\cranbrook_kimberley\611-nelson-street-20022519\esri_world_imagery_z19\z19_x93234_y178505.jpg,data\contact_sheets\cranbrook_kimberley\611-nelson-street-20022519\aerial_contact_sheet.jpg,blocked_no_aerial_imagery,unclear,poor,0,9,data\mls_contact_sheets\cranbrook_kimberley\611-nelson-street-20022519\mls_contact_sheet.jpg,30,yes,no,"4,6,7,10,11,26",high,no,research_only_verify_license,Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.; Strong backyard/deck/patio and garden coverage; all appear ground-level.
61,16,20078478,75 103RD Avenue,Cranbrook/Kimberley,Kootenay,KI - Kimberley,listing,49.66412926,-115.96594646,blocked_arcgis_no_imagery,no_arcgis_overhead_available,data\aerial\cranbrook_kimberley\75-103rd-avenue-20078478\esri_world_imagery_z19\z19_x93256_y178567.jpg,data\contact_sheets\cranbrook_kimberley\75-103rd-avenue-20078478\aerial_contact_sheet.jpg,blocked_no_aerial_imagery,unclear,poor,0,9,data\mls_contact_sheets\cranbrook_kimberley\75-103rd-avenue-20078478\mls_contact_sheet.jpg,30,yes,no,"2,1,29",high,yes,research_only_verify_license,Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.; Strong backyard/lawn and deck images; photo 29 appears to show a covered hot tub on deck. Needs human verification before relying on it.
62,16,10682918,79 RIDGEMONT Drive,Fernie/Sparwood,Kootenay,FE - Fernie,listing,49.50678948,-115.04909858,blocked_arcgis_no_imagery,no_arcgis_overhead_available,data\aerial\fernie_sparwood\79-ridgemont-drive-10682918\esri_world_imagery_z19\z19_x94591_y178921.jpg,data\contact_sheets\fernie_sparwood\79-ridgemont-drive-10682918\aerial_contact_sheet.jpg,blocked_no_aerial_imagery,unclear,poor,0,9,data\mls_contact_sheets\fernie_sparwood\79-ridgemont-drive-10682918\mls_contact_sheet.jpg,30,yes,no,"1,2,3,7,9,10",high,no,research_only_verify_license,Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.; Strong exterior/yard and mountain-view seating shots; no aerial or hot tub/pool visible.
63,16,20020840,814 307TH Avenue,Cranbrook/Kimberley,Kootenay,KI - Marysville,listing,49.63262572,-115.95415125,blocked_arcgis_no_imagery,no_arcgis_overhead_available,data\aerial\cranbrook_kimberley\814-307th-avenue-20020840\esri_world_imagery_z19\z19_x93273_y178638.jpg,data\contact_sheets\cranbrook_kimberley\814-307th-avenue-20020840\aerial_contact_sheet.jpg,blocked_no_aerial_imagery,unclear,poor,0,9,data\mls_contact_sheets\cranbrook_kimberley\814-307th-avenue-20020840\mls_contact_sheet.jpg,30,yes,no,"1,23,25,26,27,28,30",high,yes,research_only_verify_license,Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.; Good lawn/backyard/deck inventory; hot tub clearly visible in photo 28. Needs human verification before relying on it.
64,16,10683812,958 COPPER POINT Way,Columbia Valley,Kootenay,INRU - Windermere,listing,50.49811449,-115.98869562,blocked_arcgis_no_imagery,no_arcgis_overhead_available,data\aerial\columbia_valley\958-copper-point-way-10683812\esri_world_imagery_z19\z19_x93223_y176675.jpg,data\contact_sheets\columbia_valley\958-copper-point-way-10683812\aerial_contact_sheet.jpg,blocked_no_aerial_imagery,unclear,poor,0,9,data\mls_contact_sheets\columbia_valley\958-copper-point-way-10683812\mls_contact_sheet.jpg,30,yes,no,"4,5,6,7,14,15,16,23,24",high,no,research_only_verify_license,"Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.; Many deck, yard, patio, and view photos; no confirmed aerial or hot tub/pool."
65,12,10675551,1101 6TH Street,Columbia Valley,Kootenay,IN - Invermere,listing,50.50835857,-116.03418661,mls_ground_backyard_context_only,ground_context_not_aerial,data\aerial\columbia_valley\1101-6th-street-10675551\esri_world_imagery_z19\z19_x93156_y176651.jpg,data\contact_sheets\columbia_valley\1101-6th-street-10675551\aerial_contact_sheet.jpg,vision_reviewed_batch_003_no_aerial_imagery,unclear,poor,0,9,data\mls_contact_sheets\columbia_valley\1101-6th-street-10675551\mls_contact_sheet.jpg,30,yes,no,"28,29,30,14,15",medium,not_reviewed_for_this_goal,research_only_verify_license,Vision batch 003: print_mockup_potential=low; best_candidate_tile=none; All aerial tiles show 'Map data not yet available'; no property features visible.; Goal review: no aerial/top-down. Photos 14-15 are elevated deck/view shots; 28-30 show yard/garden/lot areas from ground level. Limited combined house-backyard coverage.
66,12,10673089,112 FOREST CROWNE Crescent,Cranbrook/Kimberley,Kootenay,KI - Kimberley,listing,49.64230669,-115.97194226,blocked_arcgis_no_imagery,no_arcgis_overhead_available,data\aerial\cranbrook_kimberley\112-forest-crowne-crescent-10673089\esri_world_imagery_z19\z19_x93247_y178616.jpg,data\contact_sheets\cranbrook_kimberley\112-forest-crowne-crescent-10673089\aerial_contact_sheet.jpg,blocked_no_aerial_imagery,unclear,poor,0,9,data\mls_contact_sheets\cranbrook_kimberley\112-forest-crowne-crescent-10673089\mls_contact_sheet.jpg,30,yes,no,"1,3,6,7,8,22",medium,no,research_only_verify_license,"Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.; Exterior, patio/railing views, and scenic outlook shots; no clear drone/aerial or pool/hot tub."
67,12,10663121,1362 11TH Avenue,Fernie/Sparwood,Kootenay,FE - Fernie,listing,49.51428168,-115.06449924,blocked_arcgis_no_imagery,no_arcgis_overhead_available,data\aerial\fernie_sparwood\1362-11th-avenue-10663121\esri_world_imagery_z19\z19_x94569_y178904.jpg,data\contact_sheets\fernie_sparwood\1362-11th-avenue-10663121\aerial_contact_sheet.jpg,blocked_no_aerial_imagery,unclear,poor,0,9,data\mls_contact_sheets\fernie_sparwood\1362-11th-avenue-10663121\mls_contact_sheet.jpg,30,yes,no,"1,7,10,11,13,16",medium,not_reviewed_for_this_goal,research_only_verify_license,Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.; Goal review: many ground-level exterior/patio/yard views showing house and yard context; no aerial or top-down/elevated overview.
68,12,20077373,166 304th Avenue,Cranbrook/Kimberley,Kootenay,KI - Marysville,listing,49.63976818,-115.96099598,blocked_arcgis_no_imagery,no_arcgis_overhead_available,data\aerial\cranbrook_kimberley\166-304th-avenue-20077373\esri_world_imagery_z19\z19_x93263_y178622.jpg,data\contact_sheets\cranbrook_kimberley\166-304th-avenue-20077373\aerial_contact_sheet.jpg,blocked_no_aerial_imagery,unclear,poor,0,9,data\mls_contact_sheets\cranbrook_kimberley\166-304th-avenue-20077373\mls_contact_sheet.jpg,30,yes,no,"3,2,17,24,25",medium,no,research_only_verify_license,"Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.; Multiple exterior/courtyard/deck views, but no clear drone/aerial or water feature."
69,12,10675368,201 1ST Avenue,Fernie/Sparwood,Kootenay,FE - Fernie,listing,49.5003602,-115.06319881,blocked_arcgis_no_imagery,no_arcgis_overhead_available,data\aerial\fernie_sparwood\201-1st-avenue-10675368\esri_world_imagery_z19\z19_x94571_y178935.jpg,data\contact_sheets\fernie_sparwood\201-1st-avenue-10675368\aerial_contact_sheet.jpg,blocked_no_aerial_imagery,unclear,poor,0,9,data\mls_contact_sheets\fernie_sparwood\201-1st-avenue-10675368\mls_contact_sheet.jpg,30,yes,no,"29,30,27,28,26",medium,not_reviewed_for_this_goal,research_only_verify_license,Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.; Goal review: no aerial or elevated view. Exterior photos 26-30 show house with fenced yard/lot context from ground level; 29-30 appear best for house plus yard together.
70,12,10679212,2108 WHISKEY JACK Drive,Fernie/Sparwood,Kootenay,SP - Sparwood,listing,49.75627637,-114.89581347,mls_ground_backyard_context_only,ground_context_not_aerial,data\aerial\fernie_sparwood\2108-whiskey-jack-drive-10679212\esri_world_imagery_z19\z19_x94814_y178360.jpg,data\contact_sheets\fernie_sparwood\2108-whiskey-jack-drive-10679212\aerial_contact_sheet.jpg,vision_reviewed_batch_002,poor,poor,7,2,data\mls_contact_sheets\fernie_sparwood\2108-whiskey-jack-drive-10679212\mls_contact_sheet.jpg,30,yes,no,"7,6,3,4,1,5",medium,not_reviewed_for_this_goal,research_only_verify_license,"Vision batch 002: print_mockup_potential=low; best_candidate_tile=none; Center tile shows roadway and pale open ground; no usable backyard scene.; Goal review: no aerial/top-down shot, but several wide exterior ground-level photos show house with large surrounding lawn/lot; photos 7 and 6 are strongest for house+yard context."
71,12,10670943,22 COAL CREEK Road,Fernie/Sparwood,Kootenay,FE - Fernie,listing,49.49862579,-115.06315522,blocked_arcgis_no_imagery,no_arcgis_overhead_available,data\aerial\fernie_sparwood\22-coal-creek-road-10670943\esri_world_imagery_z19\z19_x94571_y178939.jpg,data\contact_sheets\fernie_sparwood\22-coal-creek-road-10670943\aerial_contact_sheet.jpg,blocked_no_aerial_imagery,unclear,poor,0,9,data\mls_contact_sheets\fernie_sparwood\22-coal-creek-road-10670943\mls_contact_sheet.jpg,30,yes,no,"1,2,3,7,9",medium,not_reviewed_for_this_goal,research_only_verify_license,"Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.; Goal review: no aerial/elevated view visible. Wide ground-level yard/driveway/rear exterior shots give some sense of lot, but not top-down."
72,12,10680848,2400 34TH S Avenue,Cranbrook/Kimberley,Kootenay,CRANL Cranbrook Periphery,listing,49.48655061,-115.73283811,blocked_arcgis_no_imagery,no_arcgis_overhead_available,data\aerial\cranbrook_kimberley\2400-34th-s-avenue-10680848\esri_world_imagery_z19\z19_x93595_y178966.jpg,data\contact_sheets\cranbrook_kimberley\2400-34th-s-avenue-10680848\aerial_contact_sheet.jpg,blocked_no_aerial_imagery,unclear,poor,0,9,data\mls_contact_sheets\cranbrook_kimberley\2400-34th-s-avenue-10680848\mls_contact_sheet.jpg,30,yes,no,"1,2,3,4,5,29,30",medium,unclear,research_only_verify_license,Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.; Snowy exterior/yard/garage shots plus gazebo/deck area; no clear drone; possible covered spa/gazebo but hot tub not clearly visible.
73,12,10677502,2537 LEDGEROCK Ridge,Columbia Valley,Kootenay,IN - Invermere,listing,50.48067248,-116.0404858,mls_ground_backyard_context_only,ground_context_not_aerial,data\aerial\columbia_valley\2537-ledgerock-ridge-10677502\esri_world_imagery_z19\z19_x93147_y176714.jpg,data\contact_sheets\columbia_valley\2537-ledgerock-ridge-10677502\aerial_contact_sheet.jpg,vision_reviewed_batch_003_no_aerial_imagery,unclear,poor,0,9,data\mls_contact_sheets\columbia_valley\2537-ledgerock-ridge-10677502\mls_contact_sheet.jpg,30,yes,no,"1,18,22,23,24",medium,no,research_only_verify_license,"Vision batch 003: print_mockup_potential=low; best_candidate_tile=none; All aerial tiles show 'Map data not yet available'; no property features visible.; Exterior, deck, patio/view, and treed outlook images; no true aerial; no visible pool/hot tub."
74,12,10676027,29 RIDGEMONT Drive,Fernie/Sparwood,Kootenay,FE - Fernie,listing,49.50310644,-115.05460562,blocked_arcgis_no_imagery,no_arcgis_overhead_available,data\aerial\fernie_sparwood\29-ridgemont-drive-10676027\esri_world_imagery_z19\z19_x94583_y178929.jpg,data\contact_sheets\fernie_sparwood\29-ridgemont-drive-10676027\aerial_contact_sheet.jpg,blocked_no_aerial_imagery,unclear,poor,0,9,data\mls_contact_sheets\fernie_sparwood\29-ridgemont-drive-10676027\mls_contact_sheet.jpg,30,yes,no,"28,29,27,30,26",medium,not_reviewed_for_this_goal,research_only_verify_license,"Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.; Goal review: no true aerial/top-down. Photos 26-30 are the best available elevated/backyard-view candidates showing yard/lot context and views, but little to no full house-plus-backyard together."
75,12,20022685,405 7TH Avenue,Cranbrook/Kimberley,Kootenay,KI - Kimberley,listing,49.69351588,-115.9851582,blocked_arcgis_no_imagery,no_arcgis_overhead_available,data\aerial\cranbrook_kimberley\405-7th-avenue-20022685\esri_world_imagery_z19\z19_x93228_y178501.jpg,data\contact_sheets\cranbrook_kimberley\405-7th-avenue-20022685\aerial_contact_sheet.jpg,blocked_no_aerial_imagery,unclear,poor,0,9,data\mls_contact_sheets\cranbrook_kimberley\405-7th-avenue-20022685\mls_contact_sheet.jpg,30,yes,no,"1,2,5,7",medium,no,research_only_verify_license,Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.; Multiple exterior/front/yard angles; no aerial or amenity water feature visible.
76,12,20003058,4315 LAKEVIEW Drive,Cranbrook/Kimberley,Kootenay,CRANL Cranbrook Periphery,listing,49.48370376,-115.84817827,blocked_arcgis_no_imagery,no_arcgis_overhead_available,data\aerial\cranbrook_kimberley\4315-lakeview-drive-20003058\esri_world_imagery_z19\z19_x93427_y178973.jpg,data\contact_sheets\cranbrook_kimberley\4315-lakeview-drive-20003058\aerial_contact_sheet.jpg,blocked_no_aerial_imagery,unclear,poor,0,9,data\mls_contact_sheets\cranbrook_kimberley\4315-lakeview-drive-20003058\mls_contact_sheet.jpg,30,yes,no,"1,2,3,4",medium,no,research_only_verify_license,Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.; Cabin exterior and wooded setting shots; no clear drone/aerial or hot tub/pool.
77,12,10671043,4690 NORTH Street,Columbia Valley,Kootenay,INRU - Windermere,listing,50.4663123,-115.98905013,blocked_arcgis_no_imagery,no_arcgis_overhead_available,data\aerial\columbia_valley\4690-north-street-10671043\esri_world_imagery_z19\z19_x93222_y176747.jpg,data\contact_sheets\columbia_valley\4690-north-street-10671043\aerial_contact_sheet.jpg,blocked_no_aerial_imagery,unclear,poor,0,9,data\mls_contact_sheets\columbia_valley\4690-north-street-10671043\mls_contact_sheet.jpg,30,yes,no,"1,2,3",medium,not_reviewed_for_this_goal,research_only_verify_license,Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.; Goal review: no aerial/top-down house+lot image. Ground-level exterior shots show house with lawn/yard; elevated deck/view images show outlook but not house and lot together.
78,12,20070160,530 Trail Street,Cranbrook/Kimberley,Kootenay,KI - Kimberley,listing,49.69037943,-115.98254682,blocked_arcgis_no_imagery,no_arcgis_overhead_available,data\aerial\cranbrook_kimberley\530-trail-street-20070160\esri_world_imagery_z19\z19_x93232_y178508.jpg,data\contact_sheets\cranbrook_kimberley\530-trail-street-20070160\aerial_contact_sheet.jpg,blocked_no_aerial_imagery,unclear,poor,0,9,data\mls_contact_sheets\cranbrook_kimberley\530-trail-street-20070160\mls_contact_sheet.jpg,30,yes,no,"1,2,3",medium,no,research_only_verify_license,Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.; Outdoor marketing mostly front/exterior and walkway/yard context; limited backyard content in visible set.
79,12,10679813,701 34TH S Avenue,Cranbrook/Kimberley,Kootenay,CRAN - Cranbrook South,listing,49.50164769,-115.73385134,blocked_arcgis_no_imagery,no_arcgis_overhead_available,data\aerial\cranbrook_kimberley\701-34th-s-avenue-10679813\esri_world_imagery_z19\z19_x93594_y178932.jpg,data\contact_sheets\cranbrook_kimberley\701-34th-s-avenue-10679813\aerial_contact_sheet.jpg,blocked_no_aerial_imagery,unclear,poor,0,9,data\mls_contact_sheets\cranbrook_kimberley\701-34th-s-avenue-10679813\mls_contact_sheet.jpg,30,yes,no,"1,2,3,4,5,6,7",medium,no,research_only_verify_license,Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.; Multiple exterior/yard angles and driveway/porch shots; no clear drone or water feature.
80,12,10693834,821 6TH Avenue,Cranbrook/Kimberley,Kootenay,KI - Kimberley,listing,49.7011709,-115.98820795,blocked_arcgis_no_imagery,no_arcgis_overhead_available,data\aerial\cranbrook_kimberley\821-6th-avenue-10693834\esri_world_imagery_z19\z19_x93223_y178484.jpg,data\contact_sheets\cranbrook_kimberley\821-6th-avenue-10693834\aerial_contact_sheet.jpg,blocked_no_aerial_imagery,unclear,poor,0,9,data\mls_contact_sheets\cranbrook_kimberley\821-6th-avenue-10693834\mls_contact_sheet.jpg,30,yes,no,"1,2,3,4,5",medium,no,research_only_verify_license,Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.; Winter exterior/yard photos only; limited outdoor marketing beyond front/side views.
81,12,20022908,842 8TH Avenue,Fernie/Sparwood,Kootenay,FE - Fernie,listing,49.50874718,-115.06534974,blocked_arcgis_no_imagery,no_arcgis_overhead_available,data\aerial\fernie_sparwood\842-8th-avenue-20022908\esri_world_imagery_z19\z19_x94567_y178916.jpg,data\contact_sheets\fernie_sparwood\842-8th-avenue-20022908\aerial_contact_sheet.jpg,blocked_no_aerial_imagery,unclear,poor,0,9,data\mls_contact_sheets\fernie_sparwood\842-8th-avenue-20022908\mls_contact_sheet.jpg,30,yes,no,"2,4,5,6,7,20",medium,not_reviewed_for_this_goal,research_only_verify_license,Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.; Goal review: no drone/top-down. Several ground-level yard shots show house plus large lot/backyard well; photo 20 appears elevated/front-window view but not backyard-focused.
82,8,10681651,1 MT PROCTOR Avenue,Fernie/Sparwood,Kootenay,FE - Fernie,listing,49.49530913,-115.07385118,blocked_arcgis_no_imagery,no_arcgis_overhead_available,data\aerial\fernie_sparwood\1-mt-proctor-avenue-10681651\esri_world_imagery_z19\z19_x94555_y178947.jpg,data\contact_sheets\fernie_sparwood\1-mt-proctor-avenue-10681651\aerial_contact_sheet.jpg,blocked_no_aerial_imagery,unclear,poor,0,9,data\mls_contact_sheets\fernie_sparwood\1-mt-proctor-avenue-10681651\mls_contact_sheet.jpg,30,yes,no,"1,30,2",low,not_reviewed_for_this_goal,research_only_verify_license,Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.; Goal review: no aerial/top-down/elevated lot overview visible. Only front exterior and deck/porch views; backyard/lot not shown together with house.
83,8,10663402,11 PARKLAND Drive,Fernie/Sparwood,Kootenay,FE - Fernie,listing,49.52106425,-115.06609701,blocked_arcgis_no_imagery,no_arcgis_overhead_available,data\aerial\fernie_sparwood\11-parkland-drive-10663402\esri_world_imagery_z19\z19_x94566_y178889.jpg,data\contact_sheets\fernie_sparwood\11-parkland-drive-10663402\aerial_contact_sheet.jpg,blocked_no_aerial_imagery,unclear,poor,0,9,data\mls_contact_sheets\fernie_sparwood\11-parkland-drive-10663402\mls_contact_sheet.jpg,30,yes,no,"1,2",low,not_reviewed_for_this_goal,research_only_verify_license,Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.; Goal review: photos 3/4 are elevated/scenic mountain views but do not show house with backyard/lot; only front exterior context visible.
84,8,10670512,1461 8TH Avenue,Fernie/Sparwood,Kootenay,FE - Fernie,listing,49.51399872,-115.06061126,blocked_arcgis_no_imagery,no_arcgis_overhead_available,data\aerial\fernie_sparwood\1461-8th-avenue-10670512\esri_world_imagery_z19\z19_x94574_y178905.jpg,data\contact_sheets\fernie_sparwood\1461-8th-avenue-10670512\aerial_contact_sheet.jpg,blocked_no_aerial_imagery,unclear,poor,0,9,data\mls_contact_sheets\fernie_sparwood\1461-8th-avenue-10670512\mls_contact_sheet.jpg,30,yes,no,"23,24,25,26,27",low,not_reviewed_for_this_goal,research_only_verify_license,Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.; Goal review: no aerial/top-down/elevated property overview visible. Rear yard/deck ground-level shots show backyard and house portions.
85,8,10681347,15 MT PROCTOR Avenue,Fernie/Sparwood,Kootenay,FE - Fernie,listing,49.4940351,-115.07364094,blocked_arcgis_no_imagery,no_arcgis_overhead_available,data\aerial\fernie_sparwood\15-mt-proctor-avenue-10681347\esri_world_imagery_z19\z19_x94555_y178949.jpg,data\contact_sheets\fernie_sparwood\15-mt-proctor-avenue-10681347\aerial_contact_sheet.jpg,blocked_no_aerial_imagery,unclear,poor,0,9,data\mls_contact_sheets\fernie_sparwood\15-mt-proctor-avenue-10681347\mls_contact_sheet.jpg,30,yes,no,1,low,no,research_only_verify_license,Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.; Only one clear exterior/front-yard shot; remainder appears interior-focused.
86,8,10672843,150 SULLIVAN Drive,Cranbrook/Kimberley,Kootenay,KI - Kimberley,listing,49.69758735,-115.99289312,blocked_arcgis_no_imagery,no_arcgis_overhead_available,data\aerial\cranbrook_kimberley\150-sullivan-drive-10672843\esri_world_imagery_z19\z19_x93217_y178492.jpg,data\contact_sheets\cranbrook_kimberley\150-sullivan-drive-10672843\aerial_contact_sheet.jpg,blocked_no_aerial_imagery,unclear,poor,0,9,data\mls_contact_sheets\cranbrook_kimberley\150-sullivan-drive-10672843\mls_contact_sheet.jpg,30,yes,no,1,low,not_reviewed_for_this_goal,research_only_verify_license,Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.; Goal review: no aerial/top-down/elevated backyard coverage visible. Only exterior candidate is front/driveway photo 1; backyard/lot not meaningfully shown.
87,8,20043865,1622 11 Avenue,Fernie/Sparwood,Kootenay,FE - Fernie,listing,49.51666032,-115.06223833,blocked_arcgis_no_imagery,no_arcgis_overhead_available,data\aerial\fernie_sparwood\1622-11-avenue-20043865\esri_world_imagery_z19\z19_x94572_y178899.jpg,data\contact_sheets\fernie_sparwood\1622-11-avenue-20043865\aerial_contact_sheet.jpg,blocked_no_aerial_imagery,unclear,poor,0,9,data\mls_contact_sheets\fernie_sparwood\1622-11-avenue-20043865\mls_contact_sheet.jpg,30,yes,no,1,low,no,research_only_verify_license,Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.; Only visible outdoor candidate is front exterior/driveway in snow; no backyard sequence.
88,8,10681930,176 SHADOW MOUNTAIN Boulevard,Cranbrook/Kimberley,Kootenay,CRAN - Cranbrook North,listing,49.57718975,-115.79507886,blocked_arcgis_no_imagery,no_arcgis_overhead_available,data\aerial\cranbrook_kimberley\176-shadow-mountain-boulevard-10681930\esri_world_imagery_z19\z19_x93505_y178763.jpg,data\contact_sheets\cranbrook_kimberley\176-shadow-mountain-boulevard-10681930\aerial_contact_sheet.jpg,blocked_no_aerial_imagery,unclear,poor,0,9,data\mls_contact_sheets\cranbrook_kimberley\176-shadow-mountain-boulevard-10681930\mls_contact_sheet.jpg,30,yes,no,"1,2,3,4",low,not_reviewed_for_this_goal,research_only_verify_license,Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.; Goal review: no aerial/top-down or clear backyard/lot overview. Early exterior shots show house/front/entry; photo 4 is porch/deck view with wooded setting but limited lot context.
89,8,10670897,1905 16TH S Street,Cranbrook/Kimberley,Kootenay,CRAN - Cranbrook South,listing,49.49322513,-115.75489682,blocked_arcgis_no_imagery,no_arcgis_overhead_available,data\aerial\cranbrook_kimberley\1905-16th-s-street-10670897\esri_world_imagery_z19\z19_x93563_y178951.jpg,data\contact_sheets\cranbrook_kimberley\1905-16th-s-street-10670897\aerial_contact_sheet.jpg,blocked_no_aerial_imagery,unclear,poor,0,9,data\mls_contact_sheets\cranbrook_kimberley\1905-16th-s-street-10670897\mls_contact_sheet.jpg,30,yes,no,1,low,not_reviewed_for_this_goal,research_only_verify_license,Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.; Goal review: no aerial/top-down/elevated backyard coverage visible. Only exterior candidate is front/yard photo 1; no useful backyard/lot-together view on sheet.
90,8,10652500,1909 16TH S Street,Cranbrook/Kimberley,Kootenay,CRAN - Cranbrook South,listing,49.49335,-115.754603,blocked_arcgis_no_imagery,no_arcgis_overhead_available,data\aerial\cranbrook_kimberley\1909-16th-s-street-10652500\esri_world_imagery_z19\z19_x93564_y178951.jpg,data\contact_sheets\cranbrook_kimberley\1909-16th-s-street-10652500\aerial_contact_sheet.jpg,blocked_no_aerial_imagery,unclear,poor,0,9,data\mls_contact_sheets\cranbrook_kimberley\1909-16th-s-street-10652500\mls_contact_sheet.jpg,30,yes,no,1,low,not_reviewed_for_this_goal,research_only_verify_license,Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.; Goal review: only visible exterior candidate is front/driveway view; no backyard/lot-together aerial or elevated view.
